date,filet,Q (m3/s),MES (g/m3),prctgTSM (ppt),MP (mg/m3),log(MES),log(prctgTSM),log(Q)
2015-12-18 09:48:00,manta,4.33,5.53,0.14944,0.82640,0.74273,-0.82553,0.63649
2015-12-18 10:51:00,manta,4.33,5.53,0.06329,0.35002,0.74273,-1.19864,0.63649
2015-12-18 11:53:00,manta,4.33,5.53,0.60941,3.37006,0.74273,-0.21509,0.63628
2016-01-07 12:51:00,manta,4.61,5.44,0.04179,0.22733,0.73560,-1.37894,0.66353
2016-01-07 13:53:00,manta,4.61,5.44,0.14281,0.77686,0.73560,-0.84526,0.66389
2016-01-07 14:55:00,manta,4.64,5.44,0.05558,0.30238,0.73560,-1.25505,0.66655
2016-02-08 14:20:00,manta,2.87,3.15,1.08069,3.40417,0.49831,0.03370,0.45741
2016-02-08 15:21:00,manta,2.76,3.15,0.23945,0.75428,0.49831,-0.62078,0.44098
2016-02-08 16:24:00,manta,2.65,3.15,0.23187,0.73038,0.49831,-0.63476,0.42332
2016-03-23 10:45:00,manta,2.63,3.85,0.05615,0.21619,0.58546,-1.25062,0.41996
2016-03-23 11:40:00,manta,2.63,3.85,0.04229,0.16283,0.58546,-1.37372,0.41996
2016-04-15 11:00:00,manta,3.38,6.29,0.04745,0.29844,0.79865,-1.32379,0.52896
2016-04-15 11:55:00,manta,3.39,6.29,0.19555,1.23002,0.79865,-0.70874,0.53022
2016-04-15 12:40:00,manta,3.40,6.29,0.24191,1.52164,0.79865,-0.61634,0.53125
2016-05-03 15:21:00,manta,3.06,5.7,0.04914,0.28012,0.75587,-1.30852,0.48634
2016-05-03 15:40:00,manta,3.03,5.7,0.06916,0.39424,0.75587,-1.16012,0.48208
2016-05-03 16:00:00,manta,3.00,5.7,0.03929,0.22393,0.75587,-1.40577,0.47754
2016-06-23 09:00:00,manta,1.67,5.4,0.00375,0.02025,0.73239,-2.42588,0.22328
2016-06-23 09:20:00,manta,1.67,5.4,0.36611,1.97701,0.73239,-0.43638,0.22345
2016-06-23 09:45:00,manta,1.67,5.4,0.02086,0.11265,0.73239,-1.68066,0.22367
2016-06-30 08:30:00,manta,2.16,10.11,0.01565,0.15821,1.00475,-1.80552,0.33425
2016-07-06 10:00:00,manta,2.02,9.59,0.13495,1.29419,0.98182,-0.86982,0.30535
2016-07-15 14:00:00,manta,2.01,4.94,0.09578,0.47318,0.69373,-1.01870,0.30289
2016-07-21 07:45:00,manta,2.44,13.46,0.02026,0.27264,1.12905,-1.69346,0.38701
2016-07-29 07:48:00,manta,1.45,7.87,0.04591,0.36132,0.89597,-1.33808,0.16137
2016-08-18 09:30:00,manta,1.40,4.86,0.23660,1.14987,0.68664,-0.62599,0.14480
2016-08-25 10:00:00,manta,1.23,5.45,0.10095,0.55015,0.73640,-0.99591,0.08953
2016-09-15 10:33:00,manta,2.66,25.35,0.05160,1.30817,1.40398,-1.28731,0.42466
2016-10-04 10:50:00,manta,1.81,7.72,0.08997,0.69458,0.88762,-1.04590,0.25858
2016-10-04 11:10:00,manta,1.81,7.72,0.07940,0.61300,0.88762,-1.10016,0.25775
2016-10-04 11:30:00,manta,1.81,7.72,0.26502,2.04592,0.88762,-0.57673,0.25693
2016-10-06 14:41:00,manta,2.50,7.72,0.02985,0.23043,0.88762,-1.52508,0.39815
2016-11-16 15:20:00,manta,2.48,2.47,0.31937,0.78886,0.39270,-0.49570,0.39391
2016-11-16 15:35:00,manta,2.48,2.47,0.59943,1.48060,0.39270,-0.22226,0.39443
2016-11-16 15:50:00,manta,2.48,2.47,0.19075,0.47115,0.39270,-0.71954,0.39495
